"id","apartment_community_name","dnr_customer_id"
"1","The Gramercy at Town Center","102293-6106"
"3","Hunters Glen","102293-6247"
"4","Crystal Park at Waterford","102293-6251"
"5","The Courts of Devon","102293-6077"
"6","The Apartments at Harbor Park","102293-6076"
"7","Henderson House","102293-22737"
"8","Liberty Towers","102293-16929"
"9","Masons Keepe",""
"10","Riverview Landing","1086512"
"11","Spinnaker Bay at Harbor East","102293-27146"
"13","Spring House at  Brandywine","102293-6139"
"14","St. Johns Wood","102293-6249"
"15","Stone Point Apartments","102293-30823"
"16","The Promenade at Harbor East","102293-6103"
"17","The Whitney","102293-14756"
"18","The Townes at Harvest View","102293-27733"
"19","Towson Woods Apartments","102293-31440"
"20","Concord Park At Russett","1102654"
"21","Gaslight Commons","1126986"
"22","Lakeside Apartments",""
"23","Pinnacle Town Center","102293-9557"
"24","The Apartments at Regent's Park","102293-6074"
"25","Riverwalk at Millennium","102293-22098"
"26","Stonington Farm","102293-9084"
"27","The Lexington at Market Square","102293-6347"
"28","1901 West","1131309"
"29","Avenel at Montgomery Square","1086507"
"30","Edgewater Apartments","1084893"
"31","The Ellington","102293-22738"
"32","Laurel Square Apartments","1137585"
"33","London Normandy House","1134021"
"34","The Metropolitan","102293-7047"
"35","Strathmore Court at White Flint","102293-6105"
"36","Arbors at Arundel Preserve","1098615"
"37","Concord Crystal City","1196490"
"38","Newseum Residences","1241976"
"39","Rolling Hills","1257535"
"40","Rosemary Ridge","1263739"
"41","The Zenith","1258373"
"42","Chatsworth Park","1311645"
"43","Excalibur Apartments","1270303"
"44","Four Winds at Oakton",""
"45","Greenwich Place","1306485"
"46","Upstairs at Bethesda Row","1329945"
"47","Belmont Station","1268136"
"48","Arbors at Broadlands","1139048"
"49","Senate Square","1418167"
"50","Lodge at Seven Oaks","1523105"
"51","The Brownstones at Englewood South","1517925"
"52","Regatta Apartments","102293-18129"
"53","Broadmoor Apartments","1613040"
"54","Highland Park","1515426"
"55","Honey Tree","1613030"
"56","Spa Cove","1603066"
"57","MetroPointe","1604407"
"58","Monroe Place","1566405"
"59","Pearson Square","1418166"
"60","The Village at Taylor Pond","1816546"
"61","The Arbors at Fair Lakes","1945427"
"62","Halstead Arlington","1898946"
"63","Jericho Residences","1941408"
"64","Mariner Bay at Annapolis Towne Centre","1566410"
"65","Observer Park","2217208"
"66","220 Twentieth Street","2185806"
"67","Park Place - DC","2314126"
"68","100 Park at Wyomissing Square","2308189"
"69","WestEnd25","2395706"
"70","River House","2524367"
"72","The Fenestra at Rockville Town Square","2753207"
"73","Siena Park","2955906"
"74","View 14","2930987"
"75","The Residences at Congressional Village",""
"76","The Halstead at Guilford","3273918"
"77","The Fitzgerald at UB Midtown","1845386"
"78","The Jefferson at Fair Oaks","102293-20328"
"90","Carver 2000 Senior Mansion",""
"91","Eight 50 Aliceanna","3272213"
"92","EOS Twenty-One",""
"93","The Estates",""
"98","The Residences at The Market Common","3317113"
"100","The Apartments at North Point",""
"101","Park Place at Van Dorn",""
"103","Poplar Glen",""
"104","Red Run Apartments",""
